100,371,TREVIGUE,CRACKINGTON HAVEN,BUDE,CORNWALL,EX23 0LQ,01840 230418
103,345,ROWTON HALL HOTEL & SPA,WHITCHURCH ROAD,ROWTON,CHESTER,CH3 6AD,01244 335262
107,748,HINTLESHAM HALL HOTEL,HINTLESHAM,IPSWICH,,IP8 3NS,01473 652334
111,759,OATLANDS PARK HOTEL,OATLANDS DRIVE,WEYBRIDGE,SURREY,KT13 9HB,01932 847242
114,301,BRISTOL MARRIOTT ROYAL HOTEL,COLLEGE GREEN,BRISTOL,,BS1 5TA,0117  925 5100
118,488,THE HARE & HOUNDS HOTEL,WESTONBIRT,TETBURY,GLOUCESTERSHIRE,GL8 8QL,01666 880233
123,427,THE LANGTRY MANOR HOTEL,DERBY ROAD,BOURNEMOUTH,,BH1 3QB,01202 553887
126,538,THE PRIORY,HIGH STREET,WARE,,SG12 9AL,01920 460316
129,681,LONGHIRST HALL,LONGHIRST,MORPETH,NORTHUMBERLAND,NE61 3LL,01670 795100
132,605,QUORN COUNTRY HOTEL,66 LEICESTER ROAD,QUORN,LEICESTERSHIRE,LE12 8BB,01509 415050
136,488,THE DORMY HOUSE HOTEL,WILLERSEY HILL,BROADWAY,,WR12 7LF,01386 852711
139,488,THE GREENWAY HOTEL,SHURDINGTON,CHELTENHAM,GLOUCESTERSHIRE,GL51 4UG,01242 862352
142,342,MOTTRAM HALL HOTEL,WILMSLOW ROAD,MOTTRAM ST ANDREW,PRESTBURY,SK10 4QT,01625 828135
145,328,STOWE HOUSE,STOWE SCHOOL,BUCKINGHAM,,MK18 5EH,01280 813650
156,759,SAVILL COURT HOTEL,WICK LANE,ENGLEFIELD GREEN,"EGHAM, SURREY",TW20 0XN,01784 472000
160,804,SOUGHTON HALL,NORTHOP,FLINTSHIRE,,CH7 6AB,01352 840811
165,61,ASTON VILLA FOOTBALL CLUB,VILLA PARK,ASTON,BIRMINGHAM,B6 6HE,0121 327 2299
168,564,COUNTY HALL,COUNTY ROAD,MAIDSTONE,KENT,ME14 1XQ,01622 626630
171,462,DEANS PLACE HOTEL,SEAFORD ROAD,ALFRISTON,EAST SUSSEX,BN26 5TW,01323 870248
175,650,BENINGBROUGH HALL,BENINGBROUGH,YORK,,YO30 1DD,01904 470666
181,650,THE CROFT HOTEL,CROFT ON TEES,DARLINGTON,,DL2 2ST,01325 720319
188,463,FRIERN MANOR COUNTRY HOUSE HOTEL,LOWER DUNTON ROAD,DUNTON,BRENTWOOD,CM3 3SL,01268  494200
192,695,PHYLLIS COURT CLUB,MARLOW ROAD,HENLEY ON THAMES,OXFORDSHIRE,RG9 2HT,01491 570500
195,564,ROYAL WELLS HOTEL,MOUNT EPHRAIM,TUNBRIDGE WELLS,KENT,TN4 8BE,01892 511188
198,488,THE SWAN HOTEL,BIBURY,CIRENCESTER,,GL7 5NW,01285 740695
202,345,CRABWALL MANOR HOTEL  & SPA,PARKGATE ROAD,MOLLINGTON,CHESTER,CH1 6NE,01244 451666
209,785,HIGHLEY MANOR,CRAWLEY LANE,BALCOMBE,WEST SUSSEX,RH17 6LA,01243 575226
213,748,THE STOKE BY NAYLAND CLUB,KEEPERS LANE,LEAVENHEATH,"COLCHESTER, ESSEX",CO6 4PZ,01206 262836
218,25,LIVERPOOL TOWN HALL,HIGH STREET,LIVERPOOL,,L2 3SW,0151 709 2301
227,371,ROSE - IN - VALE COUNTRY HOUSE HOTEL,MITHIAN,ST. AGNES,CORNWALL,TR5 OQD,01872 552202
234,423,PARK HOTEL,TAW VALE,BARNSTAPLE,,EX32 9AE,01271 372166
238,83,BEST WESTERN GUIDE POST HOTEL,COMMON ROAD,LOW MOOR,BRADFORD,BD12 0ST,01274 607866
242,61,"RAMADA BIRMINGHAM, SUTTON COLDFIELD",PENNS LANE,"WALMLEY, SUTTON COLDFIELD",WEST MIDLANDS,B76 1LH,0121 351 3111
252,328,BURNHAM BEECHES HOTEL,GROVE ROAD,BURNHAM,,SL1 8DP,01628 429955
255,819,FOURCROFT HOTEL,NORTH BEACH,TENBY,PEMBROKESHIRE,SA70 8AP,01834 842886
258,822,THREE RIVERS HOTEL,FERRYSIDE,CARMARTHENSHIRE,,SA17 5TU,01267 267270
262,822,BEST WESTERN DIPLOMAT HOTEL,FELINFOEL,LLANELLI,CARMARTHENSHIRE,SA15 3PJ,01554 756156
267,674,KETTERING PARK HOTEL,PARKWAY,KETTERING,NORTHAMPTONSHIRE,NN15 6XT,01536 416666
272,322,THE OAKLEY COURT HOTEL,WINDSOR ROAD,WATER OAKLEY,"WINDSOR , BERKSHIRE",SL4 5UR,01628 74141
277,650,DUNCOMBE PARK,HELMSLEY,YORK,,Y062 5EB,01439 772625
280,339,NEWNHAM COLLEGE,SIDGWICK AVENUE,CAMBRIDGE,,CB3 9DF,01223 335700
284,339,THE HAYCOCK HOTEL,LONDON ROAD,WANSFORD,PETERBOROUGH,PE8 6JA,01780 782223
291,722,HOLBROOK HOUSE HOTEL,WINCANTON,SOMERSET,,BA9 8BS,01963 824466
296,342,THE COTTONS HOTEL & SPA,MANCHESTER ROAD,KNUTSFORD,,WA16 0SU,01565 650333
300,307,DOUBLETREE BY HILTON BRISTOL SOUTH-CADBURY HOUSE,FROST HILL,CONGRESBURY,,BS49 5AD,01934 834343
303,429,HOTEL REMBRANDT,12-18 DORCHESTER ROAD,WEYMOUTH,DORSET,DT4 7JU,01305 764000
306,600,BELMONT HOTEL,DE MONTFORT STREET,LEICESTER,,LE1 7GR,0116  254 477
311,387,LEEMING HOUSE HOTEL,WATERMILLOCK,ULLSWATER,PENRITH,CA11 0JJ,0844 879 9142
315,462,BARNSGATE MANOR VINEYARD,HERON'S GHYLL,NEAR UCKFIELD,EAST SUSSEX,TN22 4DB,01825 713366
318,538,FANHAMS HALL,FANHAMS HALL ROAD,WARE,HERTFORDSHIRE,SG12 7PZ,01920 460511
321,561,BRIDGEWOOD MANOR,WALDERSLADE WOODS,CHATHAM,KENT,ME5 9AX,01634 201333
325,554,WORTLEY HOUSE HOTEL,61 ROWLAND ROAD,SCUNTHORPE,NORTH LINCOLNSHIRE,DN16 1SU,01724 842223
332,799,THE ROYAL OAK,WOOTTON RIVERS,MARLBOROUGH,WILTSHIRE,SN8 4NQ,01672 810823
335,759,CLANDON PARK,WEST CLANDON,GUILDFORD,SURREY,GU4 7RQ,01483 224462
340,239,THE JUMEIRAH CARLTON TOWER,ON CADOGAN PLACE,LONDON,,SW1X 9PY,020 7235 1234
347,748,HOTEL HATFIELD,THE ESPLANADE,LOWESTOFT,,NR33 0DG,01502 565337
353,497,HMS WARRIOR 1860,VICTORY GATE,HM NAVAL BASE,PORTSMOUTH,PO1 3QX,02392 822251
358,387,NAWORTH CASTLE,BRAMPTON,CUMBRIA,,CA8 2HF,016977 2761
367,882,LLANGOED HALL,LLYSWEN,NEAR BRECON,,LD3 0YP,01874 754525
372,650,WOOD HALL HOTEL,TRIP LANE,"LINTON, WETHERBY",NORTH YORKSHIRE,LS22 4JA,01937 587271
375,650,GEORGE HOTEL,PIERCEBRIDGE,DARLINGTON,COUNTY DURHAM,DL2 3SW,01325 374576
378,609,THE GOLF HOTEL,THE BROADWAY,WOODHALL SPA,LINCOLNSHIRE,LN10 6SG,01526 353535
381,796,BLUNSDON HOUSE HOTEL,THE RIDGE,BLUNSDON,,SN26 7AS,01793 721701
385,776,COOMBE ABBEY HOTEL,BRINKLOW ROAD,BINLEY,,CV3 2AB,02476 450450
390,738,RIVERSIDE HOTEL,RIVERSIDE DRIVE,BRANSTON,BURTON ON TRENT,DE14 3EP,01283 511234
397,722,DILLINGTON HOUSE,ILMINSTER,SOMERSET,,TA19 9DT,01460 258648
401,328,HOLIDAY INN AYLESBURY,NEW ROAD,WESTON TURVILLE,,HP22 5AA,01296 393388
404,861,COURT COLMAN MANOR,PEN-Y-FAI,BRIDGEND,,CF31 4NU,01656  720212
410,258,THE LANDMARK LONDON HOTEL,222 MARYLEBONE ROAD,LONDON,,NW1 6JQ,0207  631 8000
413,247,PACKFORD'S HOTEL,16 SNAKES LANE WEST,WOODFORD GREEN,ESSEX,IG8 0BS,0208  504 2642
416,463,TOWN HALL,HIGH STREET,COLCHESTER,,CO1 1FR,01206 282200
420,674,LAMPORT HALL,LAMPORT,NORTHAMPTON,,NN6 9HD,01604 686272
423,564,BRANDSHATCH PLACE HOTEL,FAWKHAM VALLEY ROAD,FAWKHAM,KENT,DA3 8QN,01474 875000
427,541,MERCURE,GRANGE PARK LANE,WILLERBY,,HU10 6EA,01482 656488
431,328,MISSENDEN ABBEY CONFERENCE CENTRE,LONDON ROAD,GREAT MISSENDEN,,HP16 0BD,01494 866811
435,462,HORSTED PLACE,LITTLE HORSTED,UCKFIELD,EAST SUSSEX,TN22 5TS,01825 750581
440,759,THE LEGACY THATCHER'S HOTEL,GUILDFORD ROAD,EAST HORSLEY,SURREY,KT24 6TB,01483 280500
447,477,ORSETT HALL HOTEL,PRINCE CHARLES AVENUE,ORSETT,,RM16 3HS,01375 891402
453,785,OCKENDEN MANOR,OCKENDEN LANE,CUCKFIELD,WEST SUSSEX,RH17 5LD,01444 416111
458,42,THE MOUNT PLEASANT HOTEL,GREAT NORTH ROAD,ROSSINGTON,DONCASTER,DN11 0HW,01302 868696
461,527,THE LYGON ARMS,BROADWAY,WORCESTER,,WR12 7DU,01386 852255
465,86,BERTIE'S BANQUETING ROOMS,BROOK STREET,"ELLAND, HALIFAX",WEST YORKSHIRE,HX5 9AW,01422 371724
469,823,TYGLYN AERON HOTEL,CILIAU AERON,LAMPETER,CEREDIGION,SA48 7JT,01570 470625
476,429,DORCHESTER MUNICIPAL BUILDINGS,HIGH EAST STREET,DORCHESTER,DORSET,DT1 1HF,01305 266861
479,504,RHINEFIELD HOUSE HOTEL,RHINEFIELD ROAD,BROCKENHURST,HAMPSHIRE,SO42 7QB,01590 622922
483,538,HOLIDAY INN LONDON- ELSTREE-M25 JUNCTION 23,BARNET BYPASS,BOREHAMWOOD,,WD6 5PU,020 8214 9988 8704431271
487,258,CLARIDGES,47 - 57 BROOK STREET,MAYFAIR,LONDON,W1A 2JQ,0207 629  8860
491,92,HOLIDAY INN LEEDS-GARFORTH,WAKEFIELD ROAD,GARFORTH,LEEDS,LS25 1LH,0113 286  6556
497,538,AUBREY PARK HOTEL,HEMEL HEMPSTEAD ROAD,REDBOURN,,AL3 7AF,01582 792105
501,57,JARROW TOWN HALL,GRANGE ROAD,JARROW,TYNE AND WEAR,NE32 3LE,0191  427 171
507,564,BROOME PARK,CANTERBURY ROAD,BARHAM,"CANTERBURY , KENT",CT4 6QX,01227 832701
510,896,MARGAM ORANGERY,MARGAM COUNTRY PARK,MARGAM,PORT TALBOT,SA13 2TJ,01639 881635
515,541,TICKTON GRANGE HOTEL,TICKTON,BEVERLEY,EAST RIDING OF YORKSHIRE,HU17 9SH,01964 543666
520,398,MARRIOTT BREADSALL PRIORY HOTEL  AND COUNTRY CLUB,MOOR ROAD,MORLEY,DERBY,DE7 6DL,01332 832235
526,398,"MERCURE BURTON ON TRENT, NEWTON PARK",NEWTON SOLNEY,BURTON-ON-TRENT,,DE15 0SS,01283 703568
529,394,THE HALLMARK HOTEL,MIDLAND ROAD,DERBY,,DE1 2SQ,01332 345894
534,442,THE MORRITT ARMS,GRETA BRIDGE,BARNARD CASTLE,COUNTY DURHAM,DL12 9SE,01833 627232
541,230,SUTTON HOUSE,2 AND 4 HOMERTON HIGH ST,,,E9 6JQ,0208 525 9055
546,839,CWRT BLEDDYN HOTEL,LLANGYBI,USK,MONMOUTHSHIRE,NP15 1PG,01633 450521
549,738,THE NATIONAL BREWERY CENTRE,HORNINGLOW STREET,BURTON ON TRENT,,DE14 1NG,01283 513842
552,738,KEELE HALL,KEELE UNIVERSITY,KEELE,STAFFORDSHIRE,ST5 5BG,01782  734602/734153
557,488,THE MANOR HOUSE HOTEL,HIGH STREET,MORETON-IN-MARSH,GLOUCESTERSHIRE,GL56 0LJ,01608 650501
561,328,VILLIERS HOTEL,3 CASTLE STREET,BUCKINGHAM,,MK18 1BS,01280 822444
565,591,THE GREAT HALL AT MAINS,MAINS LANE,LITTLE SINGLETON,POULTON-LE-FYLDE,FY6 7LE,01253 885130
568,591,PINES HOTEL,570 PRESTON ROAD,CLAYTON-LE-WOODS,CHORLEY,PR6 7ED,01772  338551
572,591,BARTLE HALL HOTEL,LEA LANE,BARTLE,PRESTON,PR4 0HA,01772 690506
575,591,NORTHCOTE,NORTHCOTE ROAD,LANGHO,,BB6 8BE,01254 240555
579,398,MICKLEOVER COURT HOTEL,MICKLEOVER,DERBY,,DE3 5XX,01332 521234
582,504,NEW PLACE,DEVERE VENUES,"HIGH STREET, SHIRRELL HEATH",HAMPSHIRE,SO32 2JH,01329 833543
585,73,RAMADA  BIRMINGHAM SOLIHULL,THE SQUARE,SOLIHULL,,B91 3RF,0121 711 2121
590,717,DELBURY HALL,DIDDLEBURY,CRAVEN ARMS,SHROPSHIRE,SY7 9DH,01584 841267
596,716,BUCKATREE HALL HOTEL,THE WREKIN,WELLINGTON,TELFORD,TF6 5AL,01952 641821
601,387,ENNERDALE COUNTRY HOUSE HOTEL,CLEATOR,,,CA23 3DT,01946 813907
606,429,THE COPPLERIDGE INN,MOTCOMBE,SHAFTESBURY,,SP7 9HW,01747 851 980
611,776,HOLIDAY INN KENILWORTH,212 ABBEY END,KENILWORTH,,CV8 1ED,01926 855957
616,527,THE ELMS HOTEL,ABBERLEY,WORCESTER,,WR6 6AT,01299 896666
621,642,CONGHAM HALL HOTEL,LYNN ROAD,"GRIMSTON, KING'S LYNN",NORFOLK,PE32 1AH,01485 600250
625,258,THE HILTON LONDON WALDORF,WALDORF HOTEL,ALDWYCH,LONDON,WC2B 4DD,0207 836 2400
628,604,OAKHAM CASTLE,MARKET PLACE,OAKHAM,RUTLAND,LE15 6DT,01572 723654
633,890,NEW HOUSE COUNTRY HOTEL,THORNHILL ROAD,CARDIFF,,CF14 9UA,02920 520280
643,776,ARDENCOTE MANOR HOTEL,LYE GREEN ROAD,CLAVERDON,WARWICK,CV35 8LT,01926 843111
651,256,THE PUMP HOUSE,BATTERSEA PARK,LONDON,,SW11 4NJ,0208  871 7572
655,35,AINTREE RACECOURSE,CONFERENCE & BANQUETING CENTRE,"ORMSKIRK ROAD, AINTREE",LIVERPOOL,L9 5AS,0151  5232600
660,18,TENNYSON SUITE,KILHEY COURT HOTEL,"CHORLEY ROAD,STANDISH",WIGAN,WN1 2XN,01257 472100
667,2,THE ALBERT HALLS,VICTORIA  SQUARE,BOLTON,,BL1 1RU,01204 522311
671,488,THE BEAR OF RODBOROUGH HOTEL,RODBOROUGH COMMON,STROUD,GLOUCESTERSHIRE,GL5 5DE,01453 878522
675,9,THE BIRCH HOTEL,MANCHESTER ROAD,HEYWOOD,LANCASHIRE,OL10 2QD,01706 366137
680,605,PRESTWOLD HALL,"PRESTWOLD, LOUGHBOROUGH",LEICESTERSHIRE,,LE12 5SQ,01509 880236
686,564,THE WOODLANDS,HILDA MAY AVENUE,SWANLEY,KENT,BR8 7BT,01322 662795
689,248,THE RICHMOND HILL HOTEL,RICHMOND,,,TW10 6RW,0208 940 0088
695,799,LEIGH PARK HOTEL,LEIGH ROAD WEST,BRADFORD-ON-AVON,WILTSHIRE,BA15 2RA,01225 864885
701,13,BREDBURY HALL HOTEL AND COUNTRY CLUB,GOYT VALLEY,BREDBURY,"STOCKPORT, CHESHIRE",SK6 2DH,0161 430 7421
705,13,TOWN HALL,STOCKPORT,CHESHIRE,,SK1 3XE,0161 474 3451/3450
709,342,MERE GOLF & COUNTRY CLUB,CHESTER ROAD,MERE,KNUTSFORD,WA16 6LY,01565 830155
714,258,PARK LANE HOTEL,PICCADILLY,LONDON,,W1J 7BX,0207 499 6321
721,538,OFFLEY PLACE,KINGS WALDEN ROAD,GREAT OFFLEY,HITCHIN,SG5 3DS,01462 768787
724,488,HATHERLEY MANOR HOTEL,DOWN HATHERLEY LANE,DOWN HATHERLEY,,GL2 9QA,01452 730217
733,258,BERKELEY HOTEL,40 WILTON PLACE,LONDON,,SW1X 7RL,0207  235 6000
736,258,THE SAVOY HOTEL,STRAND,LONDON,,WC2R 0EU,0207  836 4343
739,258,DUKES HOTEL,35-36 ST JAMES'S PLACE,LONDON,,SW1A 1NY,0207  491 4840
746,442,BOWES MUSEUM,BARNARD CASTLE,COUNTY DURHAM,,DL12 8NP,01833 690606
749,371,HANNAFORE POINT HOTEL,MARINE DRIVE,WEST LOOE,CORNWALL,PL13 2DG,01503 263273
753,92,LEEDS MARRIOTT HOTEL,4 TREVELYAN SQUARE,LEEDS,,LS1 6ET,0113 236 6366
760,307,THE WINTER GARDENS,ROYAL PARADE,WESTON-SUPER-MARE,,BS23 1AQ,01934 417 117
764,61,MOOR HALL HOTEL,MOOR HALL DRIVE,"FOUR OAKS, SUTTON COLDFIELD",WEST MIDLANDS,B75 6LN,0121  3083751
767,785,COPTHORNE HOTEL  LONDON GATWICK,COPTHORNE WAY,COPTHORNE,WEST SUSSEX,RH19 3PG,01342 348800
772,738,STONE HOUSE HOTEL,STAFFORD ROAD,STONE,,ST15 0BQ,01785 815531
777,463,OYSTERFLEET HOTEL,KNIGHTSWICK ROAD,CANVEY ISLAND,ESSEX,SS8 9PA,01268 691716
781,738,TOWN HALL,HIGH STREET,UTTOXETER,,ST14 7HN,01889 564085
788,674,THE TALBOT HOTEL,NEW STREET,OUNDLE,,PE8 4EA,01832 273621
794,83,MARRIOTT HOLLINS HALL,HOLLINS HILL,BAILDON,,BD17 7QW,01274 534207
802,504,THE MONTAGU ARMS HOTEL,PALACE LANE,BEAULIEU,HAMPSHIRE,SO42 7ZL,01590 612324
807,488,WYCK HILL HOUSE HOTEL,BURFORD ROAD,STOW-ON-THE-WOLD,GLOUCESTERSHIRE,GL54 1HY,01451 831936
813,591,ASTLEY HALL,ASTLEY PARK,CHORLEY,,PR7 1NP,01257 515929
818,650,BRIDGE INN,WALSHFORD,WETHERBY,NORTH YORKSHIRE,LS22 5HS,01937 580115
823,342,LION AND SWAN HOTEL,SWAN BANK,CONGLETON,,CW12 1AH,01260 273115
827,650,OLD SWAN HOTEL,SWAN ROAD,HARROGATE,NORTH YORKSHIRE,HG1 2SR,01423 500055
830,319,THE VINEYARD AT STOCKCROSS,STOCKCROSS,NEWBURY,BERKSHIRE,RG20 8JU,01635 528770
834,836,TREDEGAR HOUSE AND PARK,NEWPORT,SOUTH WALES,,NP10 8YW,01633 815880
839,548,STALLINGBOROUGH GRANGE HOTEL,RIBY ROAD,STALLINGBOROUGH,,DN41 8BU,01469 561302
842,527,ST ANDREW'S TOWN HOTEL,ST ANDREW'S DRIVE,WORCESTER ROAD,"DROITWICH, WORCESTERSHIRE",WR9 8AL,01905 779677
847,86,HOLIDAY INN LEEDS/BRIGHOUSE,CLIFTON VILLAGE,BRIGHOUSE,WEST YORKSHIRE,HD6 4HW,01484 400400
851,650,NEWBURGH PRIORY,NEWBURGH,"COXWOLD, YORK",NORTH YORKSHIRE,YO6 4AS,01347 868372
854,387,LANGDALE CHASE HOTEL,AMBLESIDE ROAD,WINDERMERE,,LA23 1LW,015394  32201
862,83,CITY HALL,BRADFORD,,,BD1 1HY,01274 434038
870,759,MERCURE BUSH HOTEL,THE BOROUGH,FARNHAM,SURREY,GU9 7NN,01252 715237
879,897,SWANSEA MARRIOTT HOTEL,MARITIME QUARTER,SWANSEA,,SA1 3SS,01792 642020
884,323,SONNING GOLF CLUB,DUFFIELD ROAD,SONNING,,RG4 5GJ,0118 9693332
887,581,BLACKPOOL TOWER,THE PROMENADE,BLACKPOOL,,FY1 4BJ,01253 622242
892,591,SHAW HILL HOTEL GOLF AND COUNTRY CLUB,PRESTON ROAD,WHITTLE-LE-WOODS,CHORLEY,PR6 7PP,01257 269221
896,538,COUNTY HALL,HERTFORD,,,SG13 8DE,01992 555590
900,54,THE GRAND HOTEL,GRAND PARADE,TYNEMOUTH,,NE30 4ER,0191 2936666
906,219,AVENUE HOUSE,17 EAST END ROAD,FINCHLEY,,N3 3QP,020 8346 7812
910,463,CLARICE HOUSE COLCHESTER AT KINGFORD PARK,LAYER ROAD,KINGSFORD,COLCHESTER,CO2 0HS,01206 734301
918,258,THE GORING HOTEL,15 BEESTON PLACE,LONDON,,SW1W 0JW,0207  3969000
924,30,THISTLE HAYDOCK HOTEL,PENNY LANE,HAYDOCK,"ST HELENS,MERSEYSIDE",WA11 9SG,01942 272000
927,717,THE LION HOTEL,WYLE COP,SHREWSBURY,SHROPSHIRE,SY1 1UY,01743 353107
931,716,PARK INN TELFORD,FORGEGATE,TELFORD,,TF3 4NA,01952 429988
939,15,MANCHESTER UNITED FOOTBALL CLUB,SIR MATT BUSBY WAY,OLD TRAFFORD,MANCHESTER,M16 0RA,0161 868 8000
945,759,FRENSHAM HEIGHTS,ROWLEDGE,FARNHAM,SURREY,GU10 4EA,01252 792299
949,387,DALSTON HALL HOTEL,DALSTON,CARLISLE,,CA5 7JX,01228 710271
958,642,CAISTOR HALL HOTEL,NORWICH ROAD,CAISTOR ST EDMUND,"NORWICH, NORFOLK",NR14 8QN,01508 494998
964,423,HALDON BELVEDERE (LAWRENCE CASTLE),HIGHER ASHTON,EXETER,,EX6 7QY,01392 833846
968,304,THE PARK FALFIELD,"GLOUCESTER ROAD, WHITFIELD",SOUTH GLOUCESTERSHIRE,,GL12 8DR,01454 260550
976,591,WHOOP HALL,BURROW-WITH-BURROW,KIRKBY LONSDALE,,LA6 2HP,015242 71284
980,776,THE CHARLECOTE PHEASANT,CHARLECOTE,STRATFORD UPON AVON,,CV35 9EW,01789 279954
983,642,HOLIDAY INN NORWICH NORTH,CROMER ROAD,NORWICH,NORFOLK,NR6 6JA,01603 410544
991,463,THE WARREN GOLF AND COUNTRY CLUB,WOODHAM WALTER,MALDON,,CM9 6RW,01245 223258
999,882,DAN-YR-OGOF SHOWCAVES CENTRE FOR WALES,UPPER SWANSEA VALLEY,SWANSEA,,SA9 1GJ,01639 730284
1004,260,FULHAM TOWN HALL,FULHAM ROAD,LONDON,,SW6 1ET,0208  753 2140
1008,423,DEVON HOTEL,EXETER BY PASS,,EXETER,EX2 5EW,01392  259268
1011,738,MERCURE STAFFORD SOUTH HATHERTON HOUSE HOTEL,PINFOLD LANE,PENKRIDGE,,ST19 5QP,01785 712459
1020,394,INTERNATIONAL HOTEL,288 BURTON ROAD,DERBY,,DE23 6AD,01332 369321
1025,398,RINGWOOD HALL HOTEL,RINGWOOD ROAD,BRIMINGTON,CHESTERFIELD,S43 1DQ,01246 280077
1031,97,THE GROVE HALL,STOCKINGATE,SOUTH KIRKBY,PONTEFRACT, WF9 3QF,01977 642159
1036,423,DEER PARK HOTEL,WESTON,HONITON,,EX14 3PG,01404 41266
1043,839,CALDICOT CASTLE,CHURCH ROAD,CALDICOT,,NP6 4HU,01291 420241
1048,674,RUSHDEN HALL,RUSHDEN,NORTHAMPTONSHIRE,,NN10 9NG,01933 316216
1057,342,THE WHITE LION HOTEL,31 MAIN ROAD,WESTON,CREWE,CW2 5NA,01270 587011
1065,83,OAKWOOD HALL HOTEL,LADY LANE,BINGLEY,,BD16 4AW,01274 564123
1069,342,THE CROWN HOTEL,HIGH STREET,NANTWICH,,CW5 5AS,01270 625283
1075,674,HELLIDON LAKES GOLF & SPA HOTEL,HELLIDON,DAVENTRY,NORTHAMPTONSHIRE,NN11 6GG,01327 262550
1078,488,TEWKESBURY PARK HOTEL,LINCOLN GREEN LANE,TEWKESBURY,GLOUCESTERSHIRE,GL20 7DN,01684 295405
1082,232,GRIM'S DYKE HOTEL,OLD REDDING,HARROW WEALD,MIDDLESEX,HA3 6SH,020 8385 3100
1087,319,THE ELEPHANT AT PANGBOURNE,CHURCH ROAD,PANGBOURNE,BERKSHIRE,RG8 7AR,01189 842244
1095,342,THE CHIMNEY HOUSE HOTEL,CONGLETON ROAD,SANDBACH,,CW11 4ST,01270 764141
1099,799,THE OLD BELL HOTEL,ABBEY ROW,MALMESBURY,WILTSHIRE,SN16 0BW,01666 822344
1104,504,THE BEAULIEU HOTEL,BEAULIEU ROAD,LYNDHURST,HAMPSHIRE,SO42 7YQ,02380 293344
1107,436,HALL GARTH GOLF AND COUNTRY CLUB HOTEL,COATHAM,MUNDEVILLE,DARLINGTON,DL1 3LU,01325 300400
1113,48,SHEFFIELD WEDNESDAY FOOTBALL CLUB,PENISTONE ROAD,SHEFFIELD,,S6 1SW,0114 2212302
1119,846,GWYDIR CASTLE,LLANRWST,CONWY,,LL26 0PN,01492 641687
1124,442,HEADLAM HALL HOTEL,GAINFORD,DARLINGTON,,DL2 3HA,01325 730238
1133,511,TOWN HALL,ST OWEN STREET,HEREFORD,,HR1 2PJ,01432 260127
1139,97,WOOLLEY HALL,NEW ROAD,WOOLLEY,WAKEFIELD,WF4 2JR,01226 392300
1144,258,SOHO HOUSE CLUB,40 GREEK STREET,,LONDON,W1D 4ED,0207 734 5188
1148,398,THE OLD VICARAGE,RIDGEWAY MOOR,RIDGEWAY VILLAGE,NR SHEFFIELD,S12 3XW,0114  2475814
1156,11,WORSLEY COURT HOUSE,BARTON ROAD,,WORSLEY,M28 2PB,0161 737  6277
